"NCM"|"EX"|"DESCRIÇÃO"|"AL_IPI"|"CST_IPI_ENTRADA"|"CST_IPI_SAÍDA"|"CST_PIS_COFINS_ENTRADA"|"CST_PIS_COFINS_SAÍDA"|"CÓDIGO_JUSTIFICATIVA_ENQUADRAMENTO_PIS_COFINS"
"03019210"|""|"Peixes vivos - Outros peixes vivos - Enguias (Anguilla spp.) - Para reprodução"|-1|"03"|"53"|""|""|""
"03019290"|""|"Peixes vivos - Outros peixes vivos - Enguias (Anguilla spp.) - Outras"|-1|"03"|"53"|""|""|""
"03019310"|""|"Peixes vivos - Outros peixes vivos - Carpas - Para reprodução"|-1|"03"|"53"|""|""|""
"03019390"|""|"Peixes vivos - Outros peixes vivos - Carpas - Outras"|-1|"03"|"53"|""|""|""
"03019410"|""|"Peixes vivos - Outros peixes vivos - Albacoras-azuis (Thunnus thynnus) - Para reprodução"|-1|"03"|"53"|""|""|""
"03019490"|""|"Peixes vivos - Outros peixes vivos - Albacoras-azuis (Thunnus thynnus) - Outras"|-1|"03"|"53"|""|""|""
"03019510"|""|"Peixes vivos - Outros peixes vivos - Atuns-do-sul (Thunnus maccoyii) - Para reprodução"|-1|"03"|"53"|""|""|""
"03019590"|""|"Peixes vivos - Outros peixes vivos - Atuns-do-sul (Thunnus maccoyii) - Outros"|-1|"03"|"53"|""|""|""
"03019911"|""|"Peixes vivos - Outros peixes vivos - Outros - Para reprodução - Tilápias (Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"|-1|"03"|"53"|""|""|""
"03019912"|""|"Peixes vivos - Outros peixes vivos - Outros - Para reprodução - Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"|-1|"03"|"53"|""|""|""
"03019919"|""|"Peixes vivos - Outros peixes vivos - Outros - Para reprodução - Outros"|-1|"03"|"53"|""|""|""
"03019991"|""|"Peixes vivos - Outros peixes vivos - Outros - Outros - Tilápias (Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"|-1|"03"|"53"|""|""|""
"03019992"|""|"Peixes vivos - Outros peixes vivos - Outros - Outros - Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"|-1|"03"|"53"|""|""|""
"03019999"|""|"Peixes vivos - Outros peixes vivos - Outros - Outros - Outros"|-1|"03"|"53"|""|""|""
"03021100"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Salmonídeos, exceto os fígados, ovas e sêmen - Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"|0|"01"|"51"|""|""|""
