"NBS"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"109015112"|"Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de mercadorias"|16.70|17.30
"109015113"|"Arrendamento mercantil financeiro de veículos e equipamentos ferroviários"|16.70|17.30
"109015114"|"Arrendamento mercantil financeiro de outros equipamentos de transporte terrestre, inclusive de veículos de uso misto"|16.70|17.30
"109015115"|"Arrendamento mercantil financeiro de navios e outras embarcações"|16.70|17.30
"109015116"|"Arrendamento mercantil financeiro de aeronaves"|16.70|17.30
"109015117"|"Arrendamento mercantil financeiro de contêineres"|16.70|17.30
"109015121"|"Arrendamento mercantil financeiro de máquinas e equipamentos agrícolas"|16.70|17.30
"109015122"|"Arrendamento mercantil financeiro de máquinas e equipamentos de construção"|16.70|17.30
"109015123"|"Arrendamento mercantil financeiro de máquinas e equipamentos para escritórios, exceto computadores"|16.70|17.30
"109015124"|"Arrendamento mercantil financeiro de computadores"|16.70|17.30
"109015125"|"Arrendamento mercantil financeiro de equipamentos de telecomunicação"|16.70|17.30
"109015129"|"Arrendamento mercantil financeiro de máquinas e equipamentos, não classificados em outra posição"|16.70|17.30
"109015210"|"Arrendamento mercantil financeiro de televisão e outros eletroeletrônicos domésticos, bem como seus acessórios"|16.70|17.30
"109015220"|"Arrendamento mercantil financeiro de mídias gravadas"|16.70|17.30
"109015230"|"Arrendamento mercantil financeiro de móveis e eletrodomésticos"|16.70|17.30
"109015240"|"Arrendamento mercantil financeiro de equipamentos para diversão e lazer"|16.70|17.30
"109015250"|"Arrendamento mercantil financeiro de artigos de cama, mesa e banho"|16.70|17.30
"109015290"|"Arrendamento mercantil financeiro     de  outras  mercadorias não classificadas em outra posição"|16.70|17.30
"109019000"|"Outros serviços financeiros"|16.70|17.30
"109021000"|"Serviços de valoração de ativos"|17.15|17.75
"109022000"|"Serviços de subscrição de valores mobiliários"|17.15|17.75
"109023000"|"Serviços de fusões e aquisições"|17.15|17.75
"109024000"|"Serviços de capital de risco e finanças corporativas"|17.15|17.75
"109029000"|"Outros serviços relacionados a bancos de investimentos"|17.15|17.75
"109031100"|"Serviços de seguro de vida"|17.15|17.75
"109031200"|"Serviços de previdência complementar aberta"|17.15|17.75
"109031300"|"Serviços de previdência complementar fechada"|17.15|17.75
"109032000"|"Serviços de seguros saúde e de acidentes"|0|0
"109039100"|"Serviços de seguros de veículos rodoviários"|17.15|17.75
"109039200"|"Serviços de seguros para transporte ferroviário, aquaviário e aéreo"|17.15|17.75
"109039300"|"Serviços de seguros de cargas"|17.15|17.75
"109039400"|"Serviços de seguros de outras propriedades"|17.15|17.75
"109039500"|"Serviços de seguros por responsabilidade civil"|17.15|17.75
"109039600"|"Serviços de seguro de crédito e de caução"|17.15|17.75
"109039700"|"Serviços de seguro de viagem"|17.15|17.75
"109039900"|"Outros serviços de seguro"|18.08|18.68
"109041000"|"Serviços de resseguros de vida"|17.80|18.40
"109042000"|"Serviços de resseguros saúde e de acidentes"|17.80|18.40
"109043100"|"Serviços de resseguros de veículos rodoviários"|17.47|18.07
